text_encoder,video_encoder,audio_encoder,train_acc,train_f1,test_acc,test_f1
lstm,lstm,lstm,1.0,1.0,0.7243975304788158,0.7630979418754578
lstm,lstm,cnn_rnn,1.0,1.0,0.7236637838425175,0.7639681100845337
lstm,lstm,transformer,1.0,1.0,0.7155754181646532,0.7554535269737244
lstm,lstm,cnn,1.0,1.0,0.7206763125235035,0.7622298002243042
lstm,cnn_rnn,lstm,0.998923534347165,0.9985915422439575,0.7389194600043758,0.7963526248931885
lstm,cnn_rnn,cnn_rnn,1.0,1.0,0.6965902303495715,0.7318235635757446
lstm,cnn_rnn,transformer,1.0,1.0,0.677410073818699,0.704878032207489
lstm,cnn_rnn,cnn,1.0,1.0,0.724179583211099,0.7526377439498901
lstm,transformer,lstm,1.0,1.0,0.7314617268500789,0.7843986749649048
lstm,transformer,cnn_rnn,1.0,1.0,0.7226248614249691,0.7663981914520264
lstm,transformer,transformer,1.0,1.0,0.7324795588370292,0.7793952226638794
lstm,transformer,cnn,1.0,1.0,0.7317371060771327,0.7694063782691956
lstm,cnn,lstm,1.0,1.0,0.7455995515469582,0.7836920022964478
lstm,cnn,cnn_rnn,1.0,1.0,0.7403218986526612,0.7767653465270996
lstm,cnn,transformer,1.0,1.0,0.7342306808117898,0.7713310718536377
lstm,cnn,cnn,1.0,1.0,0.7402910099875543,0.7790178656578064
cnn_rnn,lstm,lstm,1.0,1.0,0.7926093301465434,0.8250539302825928
cnn_rnn,lstm,cnn_rnn,1.0,1.0,0.7957091023845058,0.8290597796440125
cnn_rnn,lstm,transformer,0.9982024094750804,0.9978798627853394,0.7719888417951523,0.8027057647705078
cnn_rnn,lstm,cnn,0.9994797081716599,0.9992952942848206,0.7932952700122711,0.8273683786392212
cnn_rnn,cnn_rnn,lstm,1.0,1.0,0.8042164060377306,0.8318965435028076
cnn_rnn,cnn_rnn,cnn_rnn,1.0,1.0,0.785778735914538,0.8222697973251343
cnn_rnn,cnn_rnn,transformer,0.9989036715799763,0.9985895752906799,0.7942489347150249,0.824561357498169
cnn_rnn,cnn_rnn,cnn,1.0,1.0,0.7880093089995845,0.8266385197639465
cnn_rnn,transformer,lstm,0.9958544065875392,0.9950529932975769,0.790270988018282,0.8259023427963257
cnn_rnn,transformer,cnn_rnn,1.0,1.0,0.7643173490801165,0.809881865978241
cnn_rnn,transformer,transformer,0.9993796521617521,0.9992952942848206,0.7878425851944955,0.8268624544143677
cnn_rnn,transformer,cnn,0.9983043834086387,0.9978798627853394,0.7578800032215733,0.7991169691085815
cnn_rnn,cnn,lstm,1.0,1.0,0.7848489149924247,0.8242811560630798
cnn_rnn,cnn,cnn_rnn,1.0,1.0,0.776000730452999,0.8125677108764648
cnn_rnn,cnn,transformer,1.0,1.0,0.7841190849581072,0.8191720247268677
cnn_rnn,cnn,cnn,0.997524820989178,0.9971711039543152,0.768626711060924,0.8000000715255737
transformer,lstm,lstm,0.9982833237417282,0.9978858828544617,0.7617733478546143,0.8159999847412109
transformer,lstm,cnn_rnn,0.9982222722422692,0.9978829026222229,0.7600547632863445,0.7987151741981506
